$ python rbmCdk.py
Training epoch 153, cost is 0.7145237457662389
Training epoch 154, cost is 0.738183151659428
Training epoch 155, cost is 0.754063589473997
Training epoch 156, cost is 0.7628127446752644
Training epoch 157, cost is 0.7799489153267659
Training epoch 158, cost is 0.754960964555688
Training epoch 159, cost is 0.7540368168591854
Training epoch 160, cost is 0.7600949077703003
Training epoch 161, cost is 0.7470234870072693
Training epoch 162, cost is 0.7318382833117719
Training epoch 163, cost is 0.7242477056353566
Training epoch 164, cost is 0.7352176897928513
Training epoch 165, cost is 0.7463265598924763
Training epoch 166, cost is 0.7556645214001015
Training epoch 167, cost is 0.7538396141927377
Training epoch 168, cost is 0.7412472620682123
Training epoch 169, cost is 0.75590259031436
Training epoch 170, cost is 0.7769668201337431
Training epoch 171, cost is 0.7952262225016371
Training epoch 172, cost is 0.796942518862707
Training epoch 173, cost is 0.8200673879071293
Training epoch 174, cost is 0.8103773620589649
Training epoch 175, cost is 0.7753369078495522
Training epoch 176, cost is 0.7749652379739124
Training epoch 177, cost is 0.7692753571887195
Training epoch 178, cost is 0.781317328195759
Training epoch 179, cost is 0.7885704416540394
Training epoch 180, cost is 0.7752280306699834
Training epoch 181, cost is 0.7737922839188496
Training epoch 182, cost is 0.7803063133214075
Training epoch 183, cost is 0.7678373853832379
Training epoch 184, cost is 0.758170915727972
Training epoch 185, cost is 0.7689388034349521
Training epoch 186, cost is 0.7852993307450279
Training epoch 187, cost is 0.7801955696863566
Training epoch 188, cost is 0.7839086798263022
Training epoch 189, cost is 0.8028622688385693
Training epoch 190, cost is 0.7737706381119788
Training epoch 191, cost is 0.7630344543612981
Training epoch 192, cost is 0.7538998606638345
Training epoch 193, cost is 0.7222886564781463
Training epoch 194, cost is 0.7409328249469684
Training epoch 195, cost is 0.760953078220993
Training epoch 196, cost is 0.7417903426583332
Training epoch 197, cost is 0.7482141831918061
Training epoch 198, cost is 0.7551187138383858
Training epoch 199, cost is 0.7358724412203436
Training epoch 200, cost is 0.7289283953968467
Training epoch 201, cost is 0.7499365162181788
Training epoch 202, cost is 0.7346378728653472
Training epoch 203, cost is 0.7277959118270209
Training epoch 204, cost is 0.7172309485093264
Training epoch 205, cost is 0.6925876378265118
Training epoch 206, cost is 0.7156376947944408
Training epoch 207, cost is 0.7054474435542891
Training epoch 208, cost is 0.7099605894935078
Training epoch 209, cost is 0.7380557241757448
Training epoch 210, cost is 0.7327268884240784
Training epoch 211, cost is 0.7334382073117207
Training epoch 212, cost is 0.7427797521268298
Training epoch 213, cost is 0.7392843197199777
Training epoch 214, cost is 0.7277319194594982
Training epoch 215, cost is 0.7314097365825806
Training epoch 216, cost is 0.6966104112003385
Training epoch 217, cost is 0.6821943029792288
Training epoch 218, cost is 0.6736974971585957
Training epoch 219, cost is 0.6977300421783689
Training epoch 220, cost is 0.6967071377070105
Training epoch 221, cost is 0.7111589000848569
Training epoch 222, cost is 0.717509967222331
Training epoch 223, cost is 0.7340701237940017
Training epoch 224, cost is 0.7142522416355975
Training epoch 225, cost is 0.7315343452676903
Training epoch 226, cost is 0.713487010650301
Training epoch 227, cost is 0.6946601122780205
Training epoch 228, cost is 0.7151502689700431
Training epoch 229, cost is 0.6901384615120096
Training epoch 230, cost is 0.6845220811237719
Training epoch 231, cost is 0.6754208548109549
Training epoch 232, cost is 0.6745765251684411
Training epoch 233, cost is 0.6931218965418661
Training epoch 234, cost is 0.71099541495646
Training epoch 235, cost is 0.7191956183236212
Training epoch 236, cost is 0.7413525398146659
Training epoch 237, cost is 0.7457858133310861
Training epoch 238, cost is 0.7478770409147534
Training epoch 239, cost is 0.7542179921561608
Training epoch 240, cost is 0.7599995037645484
Training epoch 241, cost is 0.755769537694746
Training epoch 242, cost is 0.7699984848278572
Training epoch 243, cost is 0.7795746997666172
Training epoch 244, cost is 0.7410511271427933
Training epoch 245, cost is 0.7681979960661106
Training epoch 246, cost is 0.7511895780273927
Training epoch 247, cost is 0.7539543680098867
Training epoch 248, cost is 0.7480706530367746
Training epoch 249, cost is 0.7537614791021264
Training epoch 250, cost is 0.7441079675275736
Training epoch 251, cost is 0.7379860899551575
Training epoch 252, cost is 0.7160656993692426
Training epoch 253, cost is 0.7194932267354791
Training epoch 254, cost is 0.7216695705450453
Training epoch 255, cost is 0.7440886152054896
Training epoch 256, cost is 0.7668252254228881
Training epoch 257, cost is 0.743209421556041
Training epoch 258, cost is 0.7415088836964246
Training epoch 259, cost is 0.7460116112294531
Training epoch 260, cost is 0.745507036237511
Training epoch 261, cost is 0.7199700135652938
Training epoch 262, cost is 0.7267297023180245
Training epoch 263, cost is 0.704686021221498
Training epoch 264, cost is 0.7077264710677346
Training epoch 265, cost is 0.6967436496782263
Training epoch 266, cost is 0.7117426810866855
Training epoch 267, cost is 0.6991989641720121
Training epoch 268, cost is 0.6998472367322908
Training epoch 269, cost is 0.7101484221003463
Training epoch 270, cost is 0.7056385578080655
Training epoch 271, cost is 0.7156342359100071
Training epoch 272, cost is 0.7248395087079915
Training epoch 273, cost is 0.7295015837894895
Training epoch 274, cost is 0.7351558210303598
Training epoch 275, cost is 0.7562401574610623
Training epoch 276, cost is 0.7770571292193621
Training epoch 277, cost is 0.7623005512002455
Training epoch 278, cost is 0.7459115693234657
Training epoch 279, cost is 0.7639627838844629
Training epoch 280, cost is 0.8008705509946398
Training epoch 281, cost is 0.7757032441992625
Training epoch 282, cost is 0.7733301081915155
Training epoch 283, cost is 0.7389739396606156
Training epoch 284, cost is 0.7332628048597704
Training epoch 285, cost is 0.7055439786441878
Training epoch 286, cost is 0.7149582133946971
Training epoch 287, cost is 0.750043547531623
Training epoch 288, cost is 0.7745995180817179
Training epoch 289, cost is 0.7206999025560705
Training epoch 290, cost is 0.694154642263855
Training epoch 291, cost is 0.6910146637978912
Training epoch 292, cost is 0.6896656278981609
Training epoch 293, cost is 0.6808657478784954
Training epoch 294, cost is 0.7031809318024759
Training epoch 295, cost is 0.6888025807802399
Training epoch 296, cost is 0.6869977636610255
Training epoch 297, cost is 0.6686903566711622
Training epoch 298, cost is 0.6598476431428479
Training epoch 299, cost is 0.6672996014465272
Training epoch 300, cost is 0.6619053891760703
Training epoch 301, cost is 0.6682138276010109
Training epoch 302, cost is 0.6811012890850224
Training epoch 303, cost is 0.6982498564874365
Training epoch 304, cost is 0.6793064402424279
Training epoch 305, cost is 0.6850380029386614
Training epoch 306, cost is 0.6824131189693848
Training epoch 307, cost is 0.6910616023086346
Training epoch 308, cost is 0.6955023385732583
Training epoch 309, cost is 0.6970966884895565
Training epoch 310, cost is 0.7066548992415228
Training epoch 311, cost is 0.7092241847313027
Training epoch 312, cost is 0.7032389083398622
Training epoch 313, cost is 0.7070750757057542
Training epoch 314, cost is 0.7118830433603511
Training epoch 315, cost is 0.6976902179241469
Training epoch 316, cost is 0.6750505753465639
Training epoch 317, cost is 0.6902865775279482
Training epoch 318, cost is 0.6850147253070965
Training epoch 319, cost is 0.6951691466086943
Training epoch 320, cost is 0.6911228075627577
Training epoch 321, cost is 0.6926627274493873
Training epoch 322, cost is 0.6792172927665358
Training epoch 323, cost is 0.677032376556039
Training epoch 324, cost is 0.6827461708682274
Training epoch 325, cost is 0.6920102331785616
Training epoch 326, cost is 0.7016620485287883
Training epoch 327, cost is 0.6805956912763519
Training epoch 328, cost is 0.6906841565948724
Training epoch 329, cost is 0.7038810668932675
Training epoch 330, cost is 0.7082344403308839
Training epoch 331, cost is 0.7212316345495081
Training epoch 332, cost is 0.6944778515352005
Training epoch 333, cost is 0.7157793864723376
Training epoch 334, cost is 0.7168536780605456
Training epoch 335, cost is 0.722044330865326
Training epoch 336, cost is 0.7243670528717524
Training epoch 337, cost is 0.6974087446614549
Training epoch 338, cost is 0.7022984488942066
Training epoch 339, cost is 0.707624593587596
Training epoch 340, cost is 0.7135661778128036
Training epoch 341, cost is 0.7165784644802774
Training epoch 342, cost is 0.7025437057702789
Training epoch 343, cost is 0.6922019202075069
Training epoch 344, cost is 0.6683399263622758
Training epoch 345, cost is 0.6895833967403991
Training epoch 346, cost is 0.6968462451659923
Training epoch 347, cost is 0.697562125396213
Training epoch 348, cost is 0.7157701874959184
Training epoch 349, cost is 0.7198280495227638
Training epoch 350, cost is 0.6861787381117909
Training epoch 351, cost is 0.6769307916368695
Training epoch 352, cost is 0.6942215018808735
Training epoch 353, cost is 0.6794884017522009
Training epoch 354, cost is 0.6517864967243762
Training epoch 355, cost is 0.6860879925611587
Training epoch 356, cost is 0.677815519639586
Training epoch 357, cost is 0.6999672626342454
Training epoch 358, cost is 0.6920361928658948
Training epoch 359, cost is 0.7008916900754887
Training epoch 360, cost is 0.7062741994391099
Training epoch 361, cost is 0.7082871502830805
Training epoch 362, cost is 0.7002645802967571
Training epoch 363, cost is 0.7154562781191384
Training epoch 364, cost is 0.7026244653569956
Training epoch 365, cost is 0.6925102807175003
Training epoch 366, cost is 0.6961653689919182
Training epoch 367, cost is 0.691001547538154
Training epoch 368, cost is 0.6950050917647008
Training epoch 369, cost is 0.6990332614541147
Training epoch 370, cost is 0.7005349114839577
Training epoch 371, cost is 0.7155564020963373
Training epoch 372, cost is 0.7078097205322087
Training epoch 373, cost is 0.6885121117935172
Training epoch 374, cost is 0.6873005492183156
Training epoch 375, cost is 0.691295632782654
Training epoch 376, cost is 0.6964685819833116
Training epoch 377, cost is 0.6951106733426959
Training epoch 378, cost is 0.698985569968959
Training epoch 379, cost is 0.6955439859210961
Training epoch 380, cost is 0.6921614087165596
Training epoch 381, cost is 0.6982255167259188
Training epoch 382, cost is 0.6979305331282059
Training epoch 383, cost is 0.6859608499644921
Training epoch 384, cost is 0.6812080104486173
Training epoch 385, cost is 0.6600176957110512
Training epoch 386, cost is 0.6706034910066201
Training epoch 387, cost is 0.6818215214480597
Training epoch 388, cost is 0.6868055235055553
Training epoch 389, cost is 0.6596715132987904
Training epoch 390, cost is 0.6663658677745297
Training epoch 391, cost is 0.667959678708015
Training epoch 392, cost is 0.6745808751022752
Training epoch 393, cost is 0.6632379487478811
Training epoch 394, cost is 0.6708630572619988
Training epoch 395, cost is 0.6772452018085109
Training epoch 396, cost is 0.6836256653720832
Training epoch 397, cost is 0.6929582391486933
Training epoch 398, cost is 0.6913858498884613
Training epoch 399, cost is 0.6896890947952947
Training epoch 400, cost is 0.6959363459070693
Training epoch 401, cost is 0.7012377400992401
Training epoch 402, cost is 0.7090286781947556
Training epoch 403, cost is 0.7048998979432392
Training epoch 404, cost is 0.7277031650940361
Training epoch 405, cost is 0.7367316437585983
Training epoch 406, cost is 0.752641913263846
Training epoch 407, cost is 0.7823321701051134
Training epoch 408, cost is 0.7930300660977939
Training epoch 409, cost is 0.7836426551397474
Training epoch 410, cost is 0.7587241839740906
Training epoch 411, cost is 0.7234890693866886
Training epoch 412, cost is 0.719083394634882
Training epoch 413, cost is 0.7213799617071448
Training epoch 414, cost is 0.7046753867535265
Training epoch 415, cost is 0.713839146761634
Training epoch 416, cost is 0.7031247938957265
Training epoch 417, cost is 0.7098983264636237
Training epoch 418, cost is 0.7227106088537751
Training epoch 419, cost is 0.7341454664389473
Training epoch 420, cost is 0.7389421922392
Training epoch 421, cost is 0.7412521898940634
Training epoch 422, cost is 0.7304536588528189
Training epoch 423, cost is 0.7232555395862715
Training epoch 424, cost is 0.7041305249768929
Training epoch 425, cost is 0.7000556146411098
Training epoch 426, cost is 0.7031966495093486
Training epoch 427, cost is 0.7113584094752663
Training epoch 428, cost is 0.7102182405827433
Training epoch 429, cost is 0.7253840490677924
Training epoch 430, cost is 0.7274260393031268
Training epoch 431, cost is 0.7160035665534116
