============ generation 0 ===============
17 {'chromosome': '1000111011011101', 'fitness': 8}
18 {'chromosome': '1000101100000111', 'fitness': 9}
19 {'chromosome': '1001110010000011', 'fitness': 9}
20 {'chromosome': '0110101110011001', 'fitness': 9}
21 {'chromosome': '1110001001111100', 'fitness': 9}
22 {'chromosome': '0010110110011000', 'fitness': 9}
23 {'chromosome': '0011101110010000', 'fitness': 9}
24 {'chromosome': '0011110010011011', 'fitness': 9}
25 {'chromosome': '1011001011000001', 'fitness': 9}
26 {'chromosome': '1110101100000111', 'fitness': 9}
27 {'chromosome': '0100101100001011', 'fitness': 9}
28 {'chromosome': '1001010010101111', 'fitness': 9}
29 {'chromosome': '0111000010101100', 'fitness': 9}
30 {'chromosome': '1000110001101111', 'fitness': 9}
31 {'chromosome': '1010001001111101', 'fitness': 9}
32 {'chromosome': '1100100010001101', 'fitness': 9}
33 {'chromosome': '1110110010001101', 'fitness': 9}
34 {'chromosome': '1110001111111100', 'fitness': 9}
35 {'chromosome': '1111110011000010', 'fitness': 9}
36 {'chromosome': '0000111011101111', 'fitness': 10}
37 {'chromosome': '1000101111111111', 'fitness': 10}
38 {'chromosome': '1000101000000111', 'fitness': 10}
39 {'chromosome': '1000111011000110', 'fitness': 10}
40 {'chromosome': '1000101101100000', 'fitness': 10}
41 {'chromosome': '1000101111100001', 'fitness': 10}
42 {'chromosome': '0010011011101111', 'fitness': 10}
43 {'chromosome': '1000111110111001', 'fitness': 10}
44 {'chromosome': '0000101000110011', 'fitness': 10}
45 {'chromosome': '1000101000000111', 'fitness': 10}
46 {'chromosome': '1100101011111111', 'fitness': 10}
47 {'chromosome': '0000101011000011', 'fitness': 10}
48 {'chromosome': '1000111011010010', 'fitness': 10}
49 {'chromosome': '1001101000101101', 'fitness': 10}
50 {'chromosome': '0110111010000110', 'fitness': 10}
51 {'chromosome': '1001101000001100', 'fitness': 10}
52 {'chromosome': '0010111011111100', 'fitness': 10}
53 {'chromosome': '0100101000110010', 'fitness': 10}
54 {'chromosome': '0011101001001011', 'fitness': 10}
55 {'chromosome': '1110001101101110', 'fitness': 10}
56 {'chromosome': '1110100001111011', 'fitness': 10}
57 {'chromosome': '0011101110010010', 'fitness': 10}
58 {'chromosome': '1001111111101000', 'fitness': 10}
59 {'chromosome': '1001110010100011', 'fitness': 10}
60 {'chromosome': '1000111011011000', 'fitness': 10}
61 {'chromosome': '1001110010110010', 'fitness': 10}
62 {'chromosome': '0000111011000010', 'fitness': 10}
63 {'chromosome': '1110110001101110', 'fitness': 10}
64 {'chromosome': '0010011011101100', 'fitness': 10}
65 {'chromosome': '1010110011000011', 'fitness': 10}
66 {'chromosome': '1010101001000000', 'fitness': 11}
67 {'chromosome': '1110101111101001', 'fitness': 11}
68 {'chromosome': '0010101010100101', 'fitness': 11}
69 {'chromosome': '0000111011101110', 'fitness': 11}
70 {'chromosome': '1000101000110011', 'fitness': 11}
71 {'chromosome': '0010011011101110', 'fitness': 11}
72 {'chromosome': '1010011000110010', 'fitness': 11}
73 {'chromosome': '1000101001100011', 'fitness': 11}
74 {'chromosome': '1110101000000011', 'fitness': 11}
75 {'chromosome': '1010100101101110', 'fitness': 11}
76 {'chromosome': '0011101111101110', 'fitness': 11}
77 {'chromosome': '1010111011111100', 'fitness': 11}
78 {'chromosome': '1000111110110010', 'fitness': 11}
79 {'chromosome': '1110101000000110', 'fitness': 11}
80 {'chromosome': '1000101001000010', 'fitness': 11}
81 {'chromosome': '1010001010100101', 'fitness': 11}
82 {'chromosome': '1000011011101011', 'fitness': 11}
83 {'chromosome': '1010111011100001', 'fitness': 11}
84 {'chromosome': '0010101010011111', 'fitness': 11}
85 {'chromosome': '1010110010111111', 'fitness': 11}
86 {'chromosome': '1100101010001011', 'fitness': 12}
87 {'chromosome': '1000101110111000', 'fitness': 12}
88 {'chromosome': '0010100010000010', 'fitness': 12}
89 {'chromosome': '1000101111101110', 'fitness': 12}
90 {'chromosome': '1001101000101110', 'fitness': 12}
91 {'chromosome': '1010001010011000', 'fitness': 12}
92 {'chromosome': '1010101010100101', 'fitness': 12}
93 {'chromosome': '1010111010001111', 'fitness': 12}
94 {'chromosome': '1010111010111111', 'fitness': 12}
95 {'chromosome': '1010101110011000', 'fitness': 12}
96 {'chromosome': '1010101010100101', 'fitness': 12}
97 {'chromosome': '1000101110011010', 'fitness': 12}
98 {'chromosome': '1010111011101110', 'fitness': 13}
99 {'chromosome': '0010101011101011', 'fitness': 13}
============ generation 2 ===============
0 {'chromosome': '0011101001011111', 'fitness': 8}
1 {'chromosome': '1110001111111101', 'fitness': 8}
2 {'chromosome': '1000101001000101', 'fitness': 8}
3 {'chromosome': '0010011001111100', 'fitness': 8}
4 {'chromosome': '0111000010111100', 'fitness': 8}
5 {'chromosome': '1100100101001000', 'fitness': 8}
6 {'chromosome': '0011101110010001', 'fitness': 8}
7 {'chromosome': '1110110101101110', 'fitness': 9}
8 {'chromosome': '0000111011011000', 'fitness': 9}
9 {'chromosome': '0111000010101111', 'fitness': 9}
10 {'chromosome': '0011101110010110', 'fitness': 9}
11 {'chromosome': '0000101001000000', 'fitness': 9}
12 {'chromosome': '0110001101101110', 'fitness': 9}
13 {'chromosome': '1100100000011011', 'fitness': 9}
14 {'chromosome': '1000111111100001', 'fitness': 9}
15 {'chromosome': '1010011000100101', 'fitness': 9}
16 {'chromosome': '1110100010001101', 'fitness': 10}
17 {'chromosome': '1001111111101000', 'fitness': 10}
18 {'chromosome': '0010011011101100', 'fitness': 10}
19 {'chromosome': '1100101100001011', 'fitness': 10}
20 {'chromosome': '1000101000000111', 'fitness': 10}
21 {'chromosome': '1000101000000111', 'fitness': 10}
22 {'chromosome': '0010011011101111', 'fitness': 10}
23 {'chromosome': '1000111011010010', 'fitness': 10}
24 {'chromosome': '0110111011101111', 'fitness': 10}
25 {'chromosome': '1000100101101110', 'fitness': 10}
26 {'chromosome': '1000101000000111', 'fitness': 10}
